2017-02-22 09:33:21,546 INFO  com.astrolink.consts.LoadProperties  - [系统初始化]服务器配置路径.\conf\config.properties
 2017-02-22 09:33:21,564 INFO  com.astrolink.service.DmLoginService  - 数据导入监听服务
 2017-02-22 09:33:21,576 INFO  com.astrolink.service.DmLoginService  - 数据导入监听服务完毕
 2017-02-22 09:33:25,737 INFO  com.astrolink.dao.DmLoginLinstenerThreadDao  - 扫描结束，需要处理的数据个数10
 2017-02-22 09:33:25,738 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量1execMap执行缓冲数量0
 2017-02-22 09:33:25,738 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量2execMap执行缓冲数量0
 2017-02-22 09:33:25,738 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量3execMap执行缓冲数量0
 2017-02-22 09:33:25,738 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量4execMap执行缓冲数量0
 2017-02-22 09:33:25,739 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量5execMap执行缓冲数量0
 2017-02-22 09:33:25,739 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量6execMap执行缓冲数量0
 2017-02-22 09:33:25,739 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量7execMap执行缓冲数量0
 2017-02-22 09:33:25,739 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量8execMap执行缓冲数量0
 2017-02-22 09:33:25,739 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量9execMap执行缓冲数量0
 2017-02-22 09:33:25,739 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量10execMap执行缓冲数量0
 2017-02-22 09:33:25,741 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为17
 2017-02-22 09:33:25,743 INFO  com.astrolink.service.DmLoginService  - id为17的处理线程添加成功
 2017-02-22 09:33:25,743 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为35
 2017-02-22 09:33:25,743 INFO  com.astrolink.service.DmLoginService  - id为35的处理线程添加成功
 2017-02-22 09:33:25,743 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为67
 2017-02-22 09:33:25,743 INFO  com.astrolink.service.DmLoginService  - id为67的处理线程添加成功
 2017-02-22 09:33:25,743 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为4
 2017-02-22 09:33:25,744 INFO  com.astrolink.service.DmLoginService  - id为4的处理线程添加成功
 2017-02-22 09:33:25,744 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为20
 2017-02-22 09:33:25,744 INFO  com.astrolink.service.DmLoginService  - id为20的处理线程添加成功
 2017-02-22 09:33:25,745 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为5
 2017-02-22 09:33:25,745 INFO  com.astrolink.service.DmLoginService  - id为5的处理线程添加成功
 2017-02-22 09:33:25,745 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为8
 2017-02-22 09:33:25,745 INFO  com.astrolink.service.DmLoginService  - id为8的处理线程添加成功
 2017-02-22 09:33:25,745 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为24
 2017-02-22 09:33:25,746 INFO  com.astrolink.service.DmLoginService  - id为24的处理线程添加成功
 2017-02-22 09:33:25,746 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为11
 2017-02-22 09:33:25,746 INFO  com.astrolink.service.DmLoginService  - id为11的处理线程添加成功
 2017-02-22 09:33:25,746 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为110
 2017-02-22 09:33:25,746 INFO  com.astrolink.service.DmLoginService  - id为110的处理线程添加成功
