2016-12-06 11:01:10,532 INFO  com.astrolink.consts.LoadProperties  - [系统初始化]服务器配置路径.\conf\config.properties
 2016-12-06 11:01:10,541 INFO  com.astrolink.service.DmLoginService  - 数据导入监听服务
 2016-12-06 11:01:10,542 INFO  com.astrolink.service.DmLoginService  - 数据导入监听服务完毕
 2016-12-06 11:01:13,579 INFO  com.astrolink.dao.DmLoginLinstenerThreadDao  - 扫描结束，需要处理的数据个数10
 2016-12-06 11:01:13,580 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量1execMap执行缓冲数量0
 2016-12-06 11:01:13,580 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量2execMap执行缓冲数量0
 2016-12-06 11:01:13,582 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量3execMap执行缓冲数量0
 2016-12-06 11:01:13,582 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量4execMap执行缓冲数量0
 2016-12-06 11:01:13,582 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量5execMap执行缓冲数量0
 2016-12-06 11:01:13,582 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量6execMap执行缓冲数量0
 2016-12-06 11:01:13,582 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量7execMap执行缓冲数量0
 2016-12-06 11:01:13,582 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量8execMap执行缓冲数量0
 2016-12-06 11:01:13,582 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量9execMap执行缓冲数量0
 2016-12-06 11:01:13,582 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量10execMap执行缓冲数量0
 2016-12-06 11:01:13,583 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为16
 2016-12-06 11:01:13,584 INFO  com.astrolink.service.DmLoginService  - id为16的处理线程添加成功
 2016-12-06 11:01:13,584 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为32
 2016-12-06 11:01:13,584 INFO  com.astrolink.service.DmLoginService  - id为32的处理线程添加成功
 2016-12-06 11:01:13,584 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为3
 2016-12-06 11:01:13,585 INFO  com.astrolink.service.DmLoginService  - id为3的处理线程添加成功
 2016-12-06 11:01:13,585 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为19
 2016-12-06 11:01:13,585 INFO  com.astrolink.service.DmLoginService  - id为19的处理线程添加成功
 2016-12-06 11:01:13,585 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为22
 2016-12-06 11:01:13,585 INFO  com.astrolink.service.DmLoginService  - id为22的处理线程添加成功
 2016-12-06 11:01:13,585 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为7
 2016-12-06 11:01:13,585 INFO  com.astrolink.service.DmLoginService  - id为7的处理线程添加成功
